year,Tm,Attendance,Attend/G,organization
2012,Cincinnati Bengals,1021414,63838,nfl
2012,Cleveland Browns,1065268,66579,nfl
2012,Dallas Cowboys,1290328,80646,nfl
2012,Denver Broncos,1157779,72361,nfl
2012,Detroit Lions,1038451,64903,nfl
2012,Green Bay Packers,1106110,69132,nfl
2012,Houston Texans,1123975,70248,nfl
2012,Indianapolis Colts,1062645,66415,nfl
2012,Jacksonville Jaguars,1010570,63161,nfl
2012,Kansas City Chiefs,1040043,65003,nfl
2012,Miami Dolphins,1005117,62820,nfl
2012,Minnesota Vikings,1019702,63731,nfl
2012,New England Patriots,1134734,70921,nfl
2012,New Orleans Saints,1163696,72731,nfl
2012,New York Giants,1229929,76871,nfl
2012,New York Jets,1142324,71395,nfl
2012,Oakland Raiders,976231,61014,nfl
2012,Philadelphia Eagles,1126893,70431,nfl
2012,Pittsburgh Steelers,1078574,67411,nfl
2012,San Diego Chargers,1022066,63879,nfl
2012,San Francisco 49ers,1094908,68432,nfl
2012,Seattle Seahawks,1017029,63564,nfl
2012,St. Louis Rams,975825,60989,nfl
2012,Tampa Bay Buccaneers,1004457,62779,nfl
2012,Tennessee Titans,1070701,66919,nfl
2012,Washington Redskins,1189702,74356,nfl
2011,Arizona Cardinals,1001663,62604,nfl
2011,Atlanta Falcons,1073420,67089,nfl
2011,Baltimore Ravens,1083902,67744,nfl
2011,Buffalo Bills,1032609,64538,nfl
2011,Carolina Panthers,1098587,68662,nfl
2011,Chicago Bears,1053343,65834,nfl
2011,Cincinnati Bengals,923005,57688,nfl
2011,Cleveland Browns,1030992,64437,nfl
2011,Dallas Cowboys,1258971,78686,nfl
2011,Denver Broncos,1109610,69351,nfl
2011,Detroit Lions,1041580,65099,nfl
2011,Green Bay Packers,1123023,70189,nfl
2011,Houston Texans,1059702,66231,nfl
2011,Indianapolis Colts,1050690,65668,nfl
2011,Jacksonville Jaguars,1049655,65603,nfl
2011,Kansas City Chiefs,1107206,69200,nfl
2011,Miami Dolphins,1064381,66524,nfl
2011,Minnesota Vikings,1047585,65474,nfl
2011,New England Patriots,1114691,69668,nfl
2011,New Orleans Saints,1105934,69121,nfl
2011,New York Giants,1232157,77010,nfl
2011,New York Jets,1187392,74212,nfl
2011,Oakland Raiders,1018629,63664,nfl
2011,Philadelphia Eagles,1129171,70573,nfl
2011,Pittsburgh Steelers,1049515,65595,nfl
2011,San Diego Chargers,1064892,66556,nfl
2011,San Francisco 49ers,1065296,66581,nfl
2011,Seattle Seahawks,1070956,66935,nfl
2011,St. Louis Rams,1002051,62628,nfl
2011,Tampa Bay Buccaneers,1019250,63703,nfl
2011,Tennessee Titans,1077697,67356,nfl
2011,Washington Redskins,1158341,72396,nfl
2010,Arizona Cardinals,1022730,63921,nfl
2010,Atlanta Falcons,1056190,66012,nfl
2010,Baltimore Ravens,1123436,70215,nfl
2010,Buffalo Bills,1034650,64666,nfl
2010,Carolina Panthers,1084908,67807,nfl
2010,Chicago Bears,1022863,63929,nfl
2010,Cincinnati Bengals,1033852,64616,nfl
2010,Cleveland Browns,1017907,63619,nfl
2010,Dallas Cowboys,1277973,79873,nfl
2010,Denver Broncos,1129448,70591,nfl
2010,Detroit Lions,977218,61076,nfl
2010,Green Bay Packers,1122668,70167,nfl
2010,Houston Texans,1108625,69289,nfl
2010,Indianapolis Colts,1093781,68361,nfl
2010,Jacksonville Jaguars,1061603,66350,nfl
2010,Kansas City Chiefs,1069780,66861,nfl
2010,Miami Dolphins,1077049,67316,nfl
2010,Minnesota Vikings,1029797,64362,nfl
2010,New England Patriots,1088753,68047,nfl
2010,New Orleans Saints,1113131,69571,nfl
2010,New York Giants,1190095,74381,nfl
2010,New York Jets,1163375,72711,nfl
2010,Oakland Raiders,911382,56961,nfl
2010,Philadelphia Eagles,1125926,70370,nfl
2010,Pittsburgh Steelers,1049715,65607,nfl
2010,San Diego Chargers,1028715,64295,nfl
2010,San Francisco 49ers,1100435,68777,nfl
2010,Seattle Seahawks,1009483,63093,nfl
2010,St. Louis Rams,911195,56950,nfl
2010,Tampa Bay Buccaneers,937014,58563,nfl
2010,Tennessee Titans,1114265,69642,nfl
2010,Washington Redskins,1193756,74610,nfl
2009,Arizona Cardinals,999150,62447,nfl
2009,Atlanta Falcons,1126660,70416,nfl
2009,Baltimore Ravens,1074077,67130,nfl
2009,Buffalo Bills,1080744,67547,nfl
2009,Carolina Panthers,1162625,72664,nfl
2009,Chicago Bears,1031114,64445,nfl
2009,Cincinnati Bengals,1035068,64692,nfl
2009,Cleveland Browns,1054215,65888,nfl
2009,Dallas Cowboys,1307231,81702,nfl
2009,Denver Broncos,1139659,71229,nfl
2009,Detroit Lions,931681,58230,nfl
2009,Green Bay Packers,1067183,66699,nfl
2009,Houston Texans,1049850,65616,nfl
2009,Indianapolis Colts,1066479,66655,nfl
2009,Jacksonville Jaguars,951161,59448,nfl
2009,Kansas City Chiefs,1049533,65596,nfl
2009,Miami Dolphins,1094695,68418,nfl
2009,Minnesota Vikings,1034123,64633,nfl
2009,New England Patriots,1138000,71125,nfl
2009,New Orleans Saints,1116009,69751,nfl
2009,New York Giants,1223927,76495,nfl
2009,New York Jets,1115944,69747,nfl
2009,Oakland Raiders,927539,57971,nfl
2009,Philadelphia Eagles,1144895,71556,nfl
