year,Tm,Attendance,Attend/G,organization
2009,TEX,2156016,26617,mlb
2009,TOR,1876129,23162,mlb
2009,WSN,1817226,22435,mlb
2008,ARI,2509924,30987,mlb
2008,ATL,2532834,31270,mlb
2008,BAL,1950075,24376,mlb
2008,BOS,3048250,37633,mlb
2008,CHC,3300200,40743,mlb
2008,CHW,2500648,30496,mlb
2008,CIN,2058632,25415,mlb
2008,CLE,2169760,26787,mlb
2008,COL,2650218,32719,mlb
2008,DET,3202645,39539,mlb
2008,FLA,1335076,16482,mlb
2008,HOU,2779487,34744,mlb
2008,KCR,1578922,19493,mlb
2008,LAA,3336747,41194,mlb
2008,LAD,3730553,46056,mlb
2008,MIL,3068458,37882,mlb
2008,MIN,2302431,28425,mlb
2008,NYM,4042045,49902,mlb
2008,NYY,4298655,53070,mlb
2008,OAK,1665256,20559,mlb
2008,PHI,3422583,42254,mlb
2008,PIT,1609076,19865,mlb
2008,SDP,2427535,29970,mlb
2008,SEA,2329702,28762,mlb
2008,SFG,2863837,35356,mlb
2008,STL,3432917,42382,mlb
2008,TBR,1811986,22370,mlb
2008,TEX,1945677,24021,mlb
2008,TOR,2399786,29627,mlb
2008,WSN,2320400,29005,mlb
2007,ARI,2325249,28707,mlb
2007,ATL,2745207,33891,mlb
2007,BAL,2164822,26726,mlb
2007,BOS,2970755,36676,mlb
2007,CHC,3252462,40154,mlb
2007,CHW,2684395,33141,mlb
2007,CIN,2058593,25415,mlb
2007,CLE,2275912,28449,mlb
2007,COL,2376250,28979,mlb
2007,DET,3047133,37619,mlb
2007,FLA,1370511,16920,mlb
2007,HOU,3020405,37289,mlb
2007,KCR,1616867,19961,mlb
2007,LAA,3365632,41551,mlb
2007,LAD,3857036,47618,mlb
2007,MIL,2869144,35422,mlb
2007,MIN,2296383,28350,mlb
2007,NYM,3853955,47580,mlb
2007,NYY,4271083,52729,mlb
2007,OAK,1921844,23726,mlb
2007,PHI,3108325,38374,mlb
2007,PIT,1749142,21594,mlb
2007,SDP,2790074,34445,mlb
2007,SEA,2672223,32588,mlb
2007,SFG,3223215,39793,mlb
2007,STL,3552180,43854,mlb
2007,TBD,1387603,17131,mlb
2007,TEX,2353862,29060,mlb
2007,TOR,2360644,29144,mlb
2007,WSN,1943812,23998,mlb
2006,ARI,2091685,25823,mlb
2006,ATL,2550524,31488,mlb
2006,BAL,2153139,26582,mlb
2006,BOS,2930588,36180,mlb
2006,CHC,3123215,38558,mlb
2006,CHW,2957414,36511,mlb
2006,CIN,2134607,26353,mlb
2006,CLE,1997995,24667,mlb
2006,COL,2104362,25980,mlb
2006,DET,2595937,32049,mlb
2006,FLA,1164134,14372,mlb
2006,HOU,3022763,37318,mlb
2006,KCR,1372638,16946,mlb
2006,LAA,3406790,42059,mlb
2006,LAD,3758545,46402,mlb
2006,MIL,2335643,28835,mlb
2006,MIN,2285018,28210,mlb
2006,NYM,3379535,41723,mlb
2006,NYY,4248067,52445,mlb
2006,OAK,1976625,24403,mlb
2006,PHI,2701815,33356,mlb
2006,PIT,1861549,22982,mlb
2006,SDP,2659757,32837,mlb
2006,SEA,2481165,30632,mlb
2006,SFG,3130313,38646,mlb
2006,STL,3407104,42589,mlb
2006,TBD,1368950,16901,mlb
2006,TEX,2388757,29491,mlb
2006,TOR,2302212,28422,mlb
2006,WSN,2153056,26581,mlb
2005,ARI,2059424,25425,mlb
2005,ATL,2521167,31126,mlb
2005,BAL,2624740,32404,mlb
2005,BOS,2847888,35159,mlb
2005,CHC,3099992,38272,mlb
2005,CHW,2342833,28924,mlb
2005,CIN,1943067,23696,mlb
2005,CLE,2013763,24861,mlb
2005,COL,1914389,23634,mlb
2005,DET,2024431,24993,mlb
2005,FLA,1852608,22872,mlb
2005,HOU,2804760,34627,mlb
2005,KCR,1371181,16928,mlb
2005,LAA,3404686,42033,mlb
2005,LAD,3603646,44489,mlb
2005,MIL,2211023,27297,mlb
2005,MIN,2034243,25114,mlb
2005,NYM,2829929,34937,mlb
2005,NYY,4090696,50502,mlb
2005,OAK,2109118,26038,mlb
2005,PHI,2665304,32905,mlb
2005,PIT,1817245,22435,mlb
2005,SDP,2869787,35429,mlb
2005,SEA,2725459,33648,mlb
2005,SFG,3181023,39272,mlb
2005,STL,3538988,43691,mlb
2005,TBD,1141669,14095,mlb
2005,TEX,2525221,31176,mlb
2005,TOR,2014995,24876,mlb
2005,WSN,2731993,33728,mlb
2004,ANA,3375677,41675,mlb
2004,ARI,2519560,31106,mlb
2004,ATL,2327565,28735,mlb
2004,BAL,2744018,33877,mlb
2004,BOS,2837294,35028,mlb
2004,CHC,3170154,38660,mlb
2004,CHW,1930537,23834,mlb
2004,CIN,2287250,28238,mlb
2004,CLE,1814401,22400,mlb
2004,COL,2338069,28865,mlb
2004,DET,1917004,23667,mlb
2004,FLA,1723105,21539,mlb
2004,HOU,3087872,38122,mlb
2004,KCR,1661478,20768,mlb
2004,LAD,3488283,43065,mlb
2004,MIL,2062382,25462,mlb
2004,MIN,1911490,23599,mlb
2004,MON,749550,9369,mlb
2004,NYM,2318951,28629,mlb
2004,NYY,3775292,46609,mlb
2004,OAK,2201516,27179,mlb
2004,PHI,3250092,40125,mlb
2004,PIT,1580031,19750,mlb
2004,SDP,3016752,37244,mlb
2004,SEA,2940731,35863,mlb
2004,SFG,3256854,39718,mlb
2004,STL,3048427,37635,mlb
2004,TBD,1274911,15936,mlb
2004,TEX,2513685,31033,mlb
2004,TOR,1900041,23457,mlb
2003,ANA,3061094,37330,mlb
2003,ARI,2805542,34636,mlb
2003,ATL,2401084,29643,mlb
2003,BAL,2454523,30303,mlb
2003,BOS,2724165,33632,mlb
2003,CHC,2962630,36576,mlb
2003,CHW,1939524,23945,mlb
2003,CIN,2355259,29077,mlb
2003,CLE,1730002,21358,mlb
2003,COL,2334085,28816,mlb
2003,DET,1368245,16892,mlb
2003,FLA,1303215,16089,mlb
2003,HOU,2454241,30299,mlb
2003,KCR,1779895,22249,mlb
2003,LAD,3138626,38748,mlb
2003,MIL,1700354,20992,mlb
2003,MIN,1946011,24025,mlb
2003,MON,1025639,12662,mlb
2003,NYM,2140599,26757,mlb
2003,NYY,3465600,42263,mlb
2003,OAK,2216596,27365,mlb
2003,PHI,2259948,27901,mlb
2003,PIT,1636751,20207,mlb
2003,SDP,2030084,25063,mlb
2003,SEA,3268509,40352,mlb
2003,SFG,3264898,40307,mlb
2003,STL,2910386,35931,mlb
2003,TBD,1058695,13070,mlb
2003,TEX,2094394,25857,mlb
2003,TOR,1799458,22216,mlb
2002,ANA,2305547,28464,mlb
2002,ARI,3198977,39494,mlb
2002,ATL,2603484,32142,mlb
2002,BAL,2682439,33117,mlb
2002,BOS,2650862,32727,mlb
2002,CHC,2693096,33248,mlb
2002,CHW,1676911,20703,mlb
2002,CIN,1855787,22911,mlb
2002,CLE,2616940,32308,mlb
2002,COL,2737838,33800,mlb
2002,DET,1503623,18795,mlb
2002,FLA,813118,10038,mlb
2002,HOU,2517357,31078,mlb
2002,KCR,1323036,16334,mlb
2002,LAD,3131255,38657,mlb
2002,MIL,1969153,24311,mlb
2002,MIN,1924473,23759,mlb
2002,MON,812045,10025,mlb
2002,NYM,2804838,34628,mlb
2002,NYY,3465807,43323,mlb
2002,OAK,2169811,26788,mlb
2002,PHI,1618467,20231,mlb
2002,PIT,1784988,22312,mlb
2002,SDP,2220601,27415,mlb
2002,SEA,3542938,43740,mlb
2002,SFG,3253203,40163,mlb
2002,STL,3011756,37182,mlb
2002,TBD,1065742,13157,mlb
2002,TEX,2352397,29042,mlb
2002,TOR,1637900,20221,mlb
2001,ANA,2000919,24703,mlb
2001,ARI,2736451,33783,mlb
2001,ATL,2823530,34858,mlb
2001,BAL,3094841,38686,mlb
2001,BOS,2625333,32412,mlb
2001,CHC,2779465,34314,mlb
2001,CHW,1766172,21805,mlb
2001,CIN,1879757,23207,mlb
2001,CLE,3175523,39694,mlb
2001,COL,3166821,39097,mlb
2001,DET,1921305,23720,mlb
2001,FLA,1261226,15765,mlb
2001,HOU,2904277,35855,mlb
2001,KCR,1536371,18968,mlb
2001,LAD,3017143,37249,mlb
2001,MIL,2811041,34704,mlb
2001,MIN,1782929,22011,mlb
2001,MON,642745,7935,mlb
2001,NYM,2658330,32819,mlb
2001,NYY,3264907,40811,mlb
2001,OAK,2133277,26337,mlb
2001,PHI,1782054,22001,mlb
2001,PIT,2464870,30430,mlb
2001,SDP,2378128,29360,mlb
2001,SEA,3507326,43300,mlb
2001,SFG,3311958,40888,mlb
2001,STL,3109578,37922,mlb
2001,TBD,1298365,16029,mlb
2001,TEX,2831021,34525,mlb
2001,TOR,1915438,23359,mlb
2000,ANA,2066982,25518,mlb
2000,ARI,2942251,36324,mlb
2000,ATL,3234304,39930,mlb
2000,BAL,3297031,40704,mlb
2000,BOS,2585895,31925,mlb
2000,CHC,2789511,34438,mlb
2000,CHW,1947799,24047,mlb
2000,CIN,2577371,31431,mlb
2000,CLE,3456278,42670,mlb
2000,COL,3295129,40681,mlb
2000,DET,2438617,30106,mlb
2000,FLA,1218326,15041,mlb
2000,HOU,3056139,37730,mlb
2000,KCR,1564847,19319,mlb
2000,LAD,2880242,35559,mlb
2000,MIL,1573621,19427,mlb
2000,MIN,1000760,12355,mlb
2000,MON,926272,11435,mlb
2000,NYM,2820530,34821,mlb
2000,NYY,3055435,38193,mlb
2000,OAK,1603744,19799,mlb
2000,PHI,1612769,19911,mlb
2000,PIT,1748908,21591,mlb
2000,SDP,2352443,29043,mlb
2000,SEA,2914624,35983,mlb
2000,SFG,3318800,40973,mlb
2000,STL,3336493,41191,mlb
2000,TBD,1449673,18121,mlb
2000,TEX,2588401,31956,mlb
2000,TOR,1705712,21058,mlb
1999,ANA,2253123,27816,mlb
1999,ARI,3019654,37280,mlb
1999,ATL,3284897,40554,mlb
1999,BAL,3433150,42385,mlb
1999,BOS,2446162,30200,mlb
1999,CHC,2813854,34739,mlb
1999,CHW,1338851,16529,mlb
1999,CIN,2061222,25137,mlb
1999,CLE,3468456,42820,mlb
1999,COL,3481065,42976,mlb
1999,DET,2026441,25018,mlb
1999,FLA,1369421,17118,mlb
1999,HOU,2706017,33000,mlb
1999,KCR,1506068,18826,mlb
1999,LAD,3095346,38214,mlb
1999,MIL,1701796,21272,mlb
1999,MIN,1202829,14850,mlb
1999,MON,773277,9547,mlb
1999,NYM,2725668,33650,mlb
1999,NYY,3292736,40651,mlb
1999,OAK,1434610,17711,mlb
1999,PHI,1825337,22535,mlb
1999,PIT,1638023,20223,mlb
1999,SDP,2523538,31155,mlb
1999,SEA,2916346,36004,mlb
1999,SFG,2078399,25659,mlb
