year,team,attendance,attendance/G
2000,Utah Jazz,792196,19322
2000,Dallas Mavericks,680238,16591
2000,Portland Trail Blazers,831376,20277
2000,Los Angeles Lakers,776336,18935
2000,Philadelphia 76ers,805692,19651
2000,Milwaukee Bucks,683125,16662
2000,Houston Rockets,518555,12648
2000,Phoenix Suns,737586,17990
2000,New York Knicks,810283,19763
2000,Minnesota Timberwolves,717371,17497
2000,Miami Heat,678186,16541
2000,Toronto Raptors,793256,19348
2000,Charlotte Hornets,615424,15010
2000,Seattle SuperSonics,640847,15630
2000,Orlando Magic,605031,14757
2000,Indiana Pacers,731800,17849
2000,Denver Nuggets,619300,15105
2000,Detroit Pistons,607323,14813
2000,Los Angeles Clippers,601587,14673
2000,Boston Celtics,629201,15346
2000,Cleveland Cavaliers,650775,15873
2000,Vancouver Grizzlies,563218,13737
2000,New Jersey Nets,556573,13575
2000,Atlanta Hawks,560330,13667
2000,Washington Wizards,638653,15577
2000,Golden State Warriors,591981,14439
2000,Chicago Bulls,888654,21674
1999,Los Angeles Lakers,771420,9408
1999,Portland Trail Blazers,835078,10184
1999,San Antonio Spurs,884450,10786
1999,Phoenix Suns,773115,9428
1999,Utah Jazz,801268,9772
1999,Indiana Pacers,752145,9173
1999,Sacramento Kings,720033,8781
1999,Miami Heat,706725,8619
1999,Minnesota Timberwolves,690012,8415
1999,Charlotte Hornets,732827,8937
1999,New York Knicks,810103,9879
1999,Seattle SuperSonics,615730,7509
1999,Detroit Pistons,678470,8274
1999,Philadelphia 76ers,756956,9231
1999,Orlando Magic,576409,7029
1999,Milwaukee Bucks,628605,7666
1999,Dallas Mavericks,606177,7392
1999,Toronto Raptors,756496,9226
1999,Houston Rockets,624594,7617
1999,Boston Celtics,683608,8337
1999,New Jersey Nets,643631,7849
1999,Denver Nuggets,637698,7777
1999,Washington Wizards,616593,7519
1999,Cleveland Cavaliers,603702,7362
1999,Vancouver Grizzlies,569864,6950
1999,Atlanta Hawks,600954,7329
1999,Golden State Warriors,509171,6209
1999,Chicago Bulls,907064,11062
1999,Los Angeles Clippers,559714,6826
1998,San Antonio Spurs,527357,10547
1998,Portland Trail Blazers,486556,9731
1998,Utah Jazz,493120,9862
1998,Miami Heat,378813,7576
1998,Detroit Pistons,444585,8892
1998,Indiana Pacers,404536,8091
1998,Orlando Magic,411091,8222
1998,Atlanta Hawks,331831,6637
1998,Los Angeles Lakers,430007,8600
1998,Philadelphia 76ers,436444,8729
1998,Phoenix Suns,472283,9446
1998,Milwaukee Bucks,381948,7639
1998,New York Knicks,494075,9882
1998,Houston Rockets,407125,8143
1998,Charlotte Hornets,480807,9616
1998,Minnesota Timberwolves,427974,8559
1998,Sacramento Kings,418751,8375
1998,Cleveland Cavaliers,352992,7060
1998,Toronto Raptors,439190,8784
1998,Seattle SuperSonics,426800,8536
1998,Boston Celtics,440602,8812
1998,Washington Wizards,402481,8050
1998,Dallas Mavericks,362837,7257
1998,Golden State Warriors,335837,6717
1998,New Jersey Nets,400387,8008
1998,Denver Nuggets,296965,5939
1998,Chicago Bulls,560012,11200
1998,Los Angeles Clippers,256568,5131
1998,Vancouver Grizzlies,417966,8359
