year,Tm,Attendance,Attend/G,Est. Payroll
2005,NYM,2829929,34937,101305821
2005,NYY,4090696,50502,208306817
2005,OAK,2109118,26038,55425762
2005,PHI,2665304,32905,95522000
2005,PIT,1817245,22435,38133000
2005,SDP,2869787,35429,63290833
2005,SEA,2725459,33648,87754334
2005,SFG,3181023,39272,90199500
2005,STL,3538988,43691,92106833
2005,TBD,1141669,14095,29679067
2005,TEX,2525221,31176,55849000
2005,TOR,2014995,24876,45719500
2005,WSN,2731993,33728,48581500
2004,ANA,3375677,41675,100534667
2004,ARI,2519560,31106,69780750
2004,ATL,2327565,28735,90182500
2004,BAL,2744018,33877,51623333
2004,BOS,2837294,35028,127298500
2004,CHC,3170154,38660,90560000
2004,CHW,1930537,23834,65212500
2004,CIN,2287250,28238,46915250
2004,CLE,1814401,22400,34319300
2004,COL,2338069,28865,65445167
2004,DET,1917004,23667,46832000
2004,FLA,1723105,21539,42143042
2004,HOU,3087872,38122,75397000
2004,KCR,1661478,20768,47609000
2004,LAD,3488283,43065,92902001
2004,MIL,2062382,25462,27528500
2004,MIN,1911490,23599,53890000
2004,MON,749550,9369,41197500
2004,NYM,2318951,28629,102035970
2004,NYY,3775292,46609,184193950
2004,OAK,2201516,27179,59425667
2004,PHI,3250092,40125,93219167
2004,PIT,1580031,19750,32227929
2004,SDP,3016752,37244,55384833
2004,SEA,2940731,35863,81515834
2004,SFG,3256854,39718,82019166
2004,STL,3048427,37635,84340333
2004,TBD,1274911,15936,29856667
2004,TEX,2513685,31033,55050417
2004,TOR,1900041,23457,50017000
2003,ANA,3061094,37330,79031667
2003,ARI,2805542,34636,80657000
2003,ATL,2401084,29643,106243667
2003,BAL,2454523,30303,73877500
2003,BOS,2724165,33632,99946500
2003,CHC,2962630,36576,79868333
2003,CHW,1939524,23945,51010000
2003,CIN,2355259,29077,59355667
2003,CLE,1730002,21358,48584834
2003,COL,2334085,28816,67179667
2003,DET,1368245,16892,49168000
2003,FLA,1303215,16089,49450000
2003,HOU,2454241,30299,71040000
2003,KCR,1779895,22249,40518000
2003,LAD,3138626,38748,105872620
2003,MIL,1700354,20992,40627000
2003,MIN,1946011,24025,55505000
2003,MON,1025639,12662,51948500
2003,NYM,2140599,26757,117176429
2003,NYY,3465600,42263,152749814
2003,OAK,2216596,27365,50260834
2003,PHI,2259948,27901,70780000
2003,PIT,1636751,20207,54812429
2003,SDP,2030084,25063,45210000
2003,SEA,3268509,40352,86959167
2003,SFG,3264898,40307,82852167
2003,STL,2910386,35931,83786666
2003,TBD,1058695,13070,19630000
2003,TEX,2094394,25857,103491667
2003,TOR,1799458,22216,51269000
2002,ANA,2305547,28464,61721667
2002,ARI,3198977,39494,102819999
2002,ATL,2603484,32142,93470367
2002,BAL,2682439,33117,64493487
2002,BOS,2650862,32727,108366060
2002,CHC,2693096,33248,75690833
2002,CHW,1676911,20703,57052833
2002,CIN,1855787,22911,45050390
2002,CLE,2616940,32308,78909449
2002,COL,2737838,33800,56851043
2002,DET,1503623,18795,55048000
2002,FLA,813118,10038,41979917
2002,HOU,2517357,31078,63448417
2002,KCR,1323036,16334,47257000
2002,LAD,3131255,38657,94850953
2002,MIL,1969153,24311,50287833
2002,MIN,1924473,23759,40425000
2002,MON,812045,10025,38670500
2002,NYM,2804838,34628,94633593
2002,NYY,3465807,43323,125928583
2002,OAK,2169811,26788,40004167
2002,PHI,1618467,20231,57954999
2002,PIT,1784988,22312,42323599
2002,SDP,2220601,27415,41425000
2002,SEA,3542938,43740,80282668
2002,SFG,3253203,40163,78299835
2002,STL,3011756,37182,74660875
2002,TBD,1065742,13157,34380000
2002,TEX,2352397,29042,105726122
2002,TOR,1637900,20221,76864333
2001,ANA,2000919,24703,47735167
2001,ARI,2736451,33783,85082999
2001,ATL,2823530,34858,91936166
2001,BAL,3094841,38686,74279540
2001,BOS,2625333,32412,110035833
2001,CHC,2779465,34314,64715833
2001,CHW,1766172,21805,65653667
2001,CIN,1879757,23207,48986000
2001,CLE,3175523,39694,93360001
2001,COL,3166821,39097,71541334
2001,DET,1921305,23720,53416167
2001,FLA,1261226,15765,35762500
2001,HOU,2904277,35855,60612667
2001,KCR,1536371,18968,35422500
2001,LAD,3017143,37249,109105953
2001,MIL,2811041,34704,43886833
2001,MIN,1782929,22011,24130000
2001,MON,642745,7935,35159500
2001,NYM,2658330,32819,93174428
2001,NYY,3264907,40811,112787143
2001,OAK,2133277,26337,33810750
2001,PHI,1782054,22001,41663833
2001,PIT,2464870,30430,57760833
2001,SDP,2378128,29360,39182833
2001,SEA,3507326,43300,74720834
2001,SFG,3311958,40888,63280167
2001,STL,3109578,37922,79373333
2001,TBD,1298365,16029,56980000
2001,TEX,2831021,34525,88633500
2001,TOR,1915438,23359,76895999
2000,ANA,2066982,25518,52664167
2000,ARI,2942251,36324,81027833
2000,ATL,3234304,39930,84737836
2000,BAL,3297031,40704,82347435
2000,BOS,2585895,31925,79975333
2000,CHC,2789511,34438,60539333
2000,CHW,1947799,24047,31743500
2000,CIN,2577371,31431,46867200
2000,CLE,3456278,42670,76972271
2000,COL,3295129,40681,61111190
2000,DET,2438617,30106,59645167
2000,FLA,1218326,15041,20347000
2000,HOU,3056139,37730,51289111
2000,KCR,1564847,19319,24903000
2000,LAD,2880242,35559,88124286
2000,MIL,1573621,19427,37305333
2000,MIN,1000760,12355,17529500
2000,MON,926272,11435,32994333
2000,NYM,2820530,34821,79509776
2000,NYY,3055435,38193,93113260
2000,OAK,1603744,19799,33172333
2000,PHI,1612769,19911,47513000
2000,PIT,1748908,21591,31328334
2000,SDP,2352443,29043,55021000
2000,SEA,2914624,35983,60495000
2000,SFG,3318800,40973,53737826
2000,STL,3336493,41191,61653863
2000,TBD,1449673,18121,63265129
2000,TEX,2588401,31956,70795921
2000,TOR,1705712,21058,46038332
1999,ANA,2253123,27816,55633166
1999,ARI,3019654,37280,68703999
1999,ATL,3284897,40554,73341000
1999,BAL,3433150,42385,80805863
1999,BOS,2446162,30200,64097500
1999,CHC,2813854,34739,62343000
1999,CHW,1338851,16529,25820000
1999,CIN,2061222,25137,33962761
1999,CLE,3468456,42820,73679962
1999,COL,3481065,42976,61935837
1999,DET,2026441,25018,36689666
1999,FLA,1369421,17118,21085000
1999,HOU,2706017,33000,55114000
1999,KCR,1506068,18826,26660000
1999,LAD,3095346,38214,81062453
1999,MIL,1701796,21272,43377395
1999,MIN,1202829,14850,22107500
1999,MON,773277,9547,17903000
1999,NYM,2725668,33650,68852092
1999,NYY,3292736,40651,86934359
1999,OAK,1434610,17711,24831833
1999,PHI,1825337,22535,31897500
1999,PIT,1638023,20223,25047666
1999,SDP,2523538,31155,49768179
1999,SEA,2916346,36004,54125003
1999,SFG,2078399,25659,46798057
1999,STL,3225334,40317,49988195
1999,TBD,1562827,19294,38870000
1999,TEX,2771469,34216,76709931
1999,TOR,2163464,26709,45444333
